dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
GSE25066;FZR1;Luminal-A;DFS;0,1;-0,7;160;0,50
GSE25066;FZR1;Luminal-B;DFS;0,58;-0,3;78;0,61
GSE25066;FZR1;HER2-enriched;DFS;0,61;0,4;37;0,61
GSE25066;FZR1;Basal-like;DFS;0,41;0,2;189;0,61
GSE25066;CDC40;All-tumours;DFS;0,81;0;508;0,81
GSE25066;CDC40;Luminal-A;DFS;0,39;-0,3;160;0,81
GSE25066;CDC40;Luminal-B;DFS;0,72;-0,2;78;0,81
GSE25066;CDC40;HER2-enriched;DFS;0,68;-0,3;37;0,81
GSE25066;CDC40;Basal-like;DFS;0,32;0,3;189;0,81
GSE25066;SFMBT1;All-tumours;DFS;0,28;-0,2;508;0,44
GSE25066;SFMBT1;Luminal-A;DFS;0,35;0,4;160;0,44
GSE25066;SFMBT1;Luminal-B;DFS;0,04;-1,4;78;0,20
GSE25066;SFMBT1;HER2-enriched;DFS;0,94;-0,1;37;0,94
GSE25066;SFMBT1;Basal-like;DFS;0,14;-0,4;189;0,35
GSE25066;ANKFY1;All-tumours;DFS;0,98;0;508;0,98
GSE25066;ANKFY1;Luminal-A;DFS;0,81;-0,1;160;0,98
GSE25066;ANKFY1;Luminal-B;DFS;0,91;-0,1;78;0,98
GSE25066;ANKFY1;HER2-enriched;DFS;0,41;0,7;37;0,98
GSE25066;ANKFY1;Basal-like;DFS;0,96;0;189;0,98
GSE25066;SPOUT1;All-tumours;DFS;0;0,6;508;0,00
GSE25066;SPOUT1;Luminal-A;DFS;0,46;0,3;160;0,46
GSE25066;SPOUT1;Luminal-B;DFS;0,33;-0,6;78;0,46
GSE25066;SPOUT1;HER2-enriched;DFS;0,45;0,6;37;0,46
GSE25066;SPOUT1;Basal-like;DFS;0,01;0,7;189;0,02
GSE25066;DTL;All-tumours;DFS;0,23;-0,2;508;0,58
GSE25066;DTL;Luminal-A;DFS;0,11;-0,7;160;0,55
GSE25066;DTL;Luminal-B;DFS;0,88;0,1;78;0,92
GSE25066;DTL;HER2-enriched;DFS;0,36;-0,8;37;0,60
GSE25066;DTL;Basal-like;DFS;0,92;0;189;0,92
GSE25066;PHF7;All-tumours;DFS;0,77;-0,1;508;0,96
GSE25066;PHF7;Luminal-A;DFS;0,68;-0,2;160;0,96
GSE25066;PHF7;Luminal-B;DFS;0,97;0;78;0,97
GSE25066;PHF7;HER2-enriched;DFS;0,65;-0,4;37;0,96
GSE25066;PHF7;Basal-like;DFS;0,11;-0,4;189;0,55
GSE25066;TRIM33;All-tumours;DFS;0,51;-0,1;508;0,76
GSE25066;TRIM33;Luminal-A;DFS;0,61;0,2;160;0,76
GSE25066;TRIM33;Luminal-B;DFS;0,57;-0,4;78;0,76
GSE25066;TRIM33;HER2-enriched;DFS;0,88;-0,1;37;0,88
GSE25066;TRIM33;Basal-like;DFS;0,37;-0,2;189;0,76
GSE25066;METTL13;All-tumours;DFS;0,56;-0,1;508;0,70
GSE25066;METTL13;Luminal-A;DFS;0,01;1,1;160;0,05
GSE25066;METTL13;Luminal-B;DFS;0,38;-0,5;78;0,63
GSE25066;METTL13;HER2-enriched;DFS;0,17;-1,1;37;0,43
GSE25066;METTL13;Basal-like;DFS;0,75;0,1;189;0,75
GSE25066;ARID4B;All-tumours;DFS;0,99;0;508;0,99
GSE25066;ARID4B;Luminal-A;DFS;0,11;0,6;160;0,38
GSE25066;ARID4B;Luminal-B;DFS;0,94;0;78;0,99
GSE25066;ARID4B;HER2-enriched;DFS;0,23;-1;37;0,38
GSE25066;ARID4B;Basal-like;DFS;0,16;0,4;189;0,38
GSE25066;RSF1;All-tumours;DFS;0,64;-0,1;508;0,80
GSE25066;RSF1;Luminal-A;DFS;0,49;-0,3;160;0,80
GSE25066;RSF1;Luminal-B;DFS;0,18;0,8;78;0,80
GSE25066;RSF1;HER2-enriched;DFS;0,55;0,5;37;0,80
GSE25066;RSF1;Basal-like;DFS;0,9;0;189;0,90
GSE25066;BRWD1;All-tumours;DFS;0,15;0,3;508;0,40
GSE25066;BRWD1;Luminal-A;DFS;0,51;0,3;160;0,64
GSE25066;BRWD1;Luminal-B;DFS;0,16;-0,9;78;0,40
GSE25066;BRWD1;HER2-enriched;DFS;0,45;0,6;37;0,64
GSE25066;BRWD1;Basal-like;DFS;0,67;-0,1;189;0,67
GSE25066;SETD4;All-tumours;DFS;0,59;-0,1;508;0,97
GSE25066;SETD4;Luminal-A;DFS;0,97;0;160;0,97
GSE25066;SETD4;Luminal-B;DFS;0,66;0,3;78;0,97
GSE25066;SETD4;HER2-enriched;DFS;0,8;-0,2;37;0,97
GSE25066;SETD4;Basal-like;DFS;0,36;-0,2;189;0,97
GSE25066;NLE1;All-tumours;DFS;0,77;0,1;508;0,96
GSE25066;NLE1;Luminal-A;DFS;0,31;0,4;160;0,96
GSE25066;NLE1;Luminal-B;DFS;0,39;0,5;78;0,96
GSE25066;NLE1;HER2-enriched;DFS;0,96;0;37;0,96
GSE25066;NLE1;Basal-like;DFS;0,72;-0,1;189;0,96
GSE25066;WDR44;All-tumours;DFS;0,09;0,3;508;0,45
GSE25066;WDR44;Luminal-A;DFS;0,92;0;160;0,98
GSE25066;WDR44;Luminal-B;DFS;0,41;0,5;78;0,88
GSE25066;WDR44;HER2-enriched;DFS;0,98;0;37;0,98
GSE25066;WDR44;Basal-like;DFS;0,53;-0,2;189;0,88
GSE25066;WDR5B;All-tumours;DFS;0,7;-0,1;508;0,70
GSE25066;WDR5B;Luminal-A;DFS;0,24;0,5;160;0,48
GSE25066;WDR5B;Luminal-B;DFS;0,01;-1,8;78;0,05
GSE25066;WDR5B;HER2-enriched;DFS;0,29;0,9;37;0,48
GSE25066;WDR5B;Basal-like;DFS;0,43;-0,2;189;0,54
GSE25066;ING3;All-tumours;DFS;0,75;-0,1;508;0,89
GSE25066;ING3;Luminal-A;DFS;0,71;0,1;160;0,89
GSE25066;ING3;Luminal-B;DFS;0,33;0,6;78;0,89
GSE25066;ING3;HER2-enriched;DFS;0,89;0,1;37;0,89
GSE25066;ING3;Basal-like;DFS;0,39;0,2;189;0,89
GSE25066;GNB1L;All-tumours;DFS;0,07;0,4;508;0,30
GSE25066;GNB1L;Luminal-A;DFS;0,45;0,3;160;0,56
GSE25066;GNB1L;Luminal-B;DFS;0,34;0,6;78;0,56
GSE25066;GNB1L;HER2-enriched;DFS;0,61;0,4;37;0,61
GSE25066;GNB1L;Basal-like;DFS;0,12;0,4;189;0,30
GSE25066;MPHOSPH8;All-tumours;DFS;0;0,6;508;0,00
GSE25066;MPHOSPH8;Luminal-A;DFS;0,16;0,6;160;0,35
GSE25066;MPHOSPH8;Luminal-B;DFS;0,92;0,1;78;0,92
GSE25066;MPHOSPH8;HER2-enriched;DFS;0,62;0,4;37;0,77
GSE25066;MPHOSPH8;Basal-like;DFS;0,21;0,3;189;0,35
GSE25066;MBTD1;All-tumours;DFS;0,05;-0,4;508;0,18
GSE25066;MBTD1;Luminal-A;DFS;0,54;-0,2;160;0,61
GSE25066;MBTD1;Luminal-B;DFS;0,07;-1,1;78;0,18
GSE25066;MBTD1;HER2-enriched;DFS;0,57;-0,4;37;0,61
GSE25066;MBTD1;Basal-like;DFS;0,61;-0,1;189;0,61
GSE25066;AHI1;All-tumours;DFS;0,41;-0,2;508;0,81
GSE25066;AHI1;Luminal-A;DFS;0,78;0,1;160;0,81
GSE25066;AHI1;Luminal-B;DFS;0,81;0,1;78;0,81
GSE25066;AHI1;HER2-enriched;DFS;0,65;0,4;37;0,81
GSE25066;AHI1;Basal-like;DFS;0,32;-0,3;189;0,81
GSE25066;SYTL2;All-tumours;DFS;0,9;0;508;0,90
GSE25066;SYTL2;Luminal-A;DFS;0,62;0,2;160;0,87
GSE25066;SYTL2;Luminal-B;DFS;0,08;-1,1;78;0,20
GSE25066;SYTL2;HER2-enriched;DFS;0,7;0,3;37;0,87
GSE25066;SYTL2;Basal-like;DFS;0,01;-0,7;189;0,05
GSE25066;WDR55;All-tumours;DFS;0,88;0;508;0,91
GSE25066;WDR55;Luminal-A;DFS;0,89;0,1;160;0,91
GSE25066;WDR55;Luminal-B;DFS;0,05;-1,4;78;0,25
GSE25066;WDR55;HER2-enriched;DFS;0,91;0,1;37;0,91
GSE25066;WDR55;Basal-like;DFS;0,22;-0,3;189;0,55
GSE25066;TEX10;All-tumours;DFS;0,03;-0,4;508;0,15
GSE25066;TEX10;Luminal-A;DFS;0,42;0,3;160;0,83
GSE25066;TEX10;Luminal-B;DFS;0,56;-0,3;78;0,83
GSE25066;TEX10;HER2-enriched;DFS;0,83;-0,2;37;0,83
GSE25066;TEX10;Basal-like;DFS;0,69;-0,1;189;0,83
GSE25066;NSD3;All-tumours;DFS;0,45;-0,1;508;0,56
GSE25066;NSD3;Luminal-A;DFS;0,85;-0,1;160;0,85
GSE25066;NSD3;Luminal-B;DFS;0,32;0,6;78;0,53
GSE25066;NSD3;HER2-enriched;DFS;0,3;-0,9;37;0,53
GSE25066;NSD3;Basal-like;DFS;0,12;-0,4;189;0,53
GSE25066;DNAAF5;All-tumours;DFS;0,32;-0,2;508;0,72
GSE25066;DNAAF5;Luminal-A;DFS;0,91;0;160;0,91
GSE25066;DNAAF5;Luminal-B;DFS;0,64;-0,3;78;0,80
GSE25066;DNAAF5;HER2-enriched;DFS;0,17;-1,1;37;0,72
GSE25066;DNAAF5;Basal-like;DFS;0,43;-0,2;189;0,72
GSE25066;PAK1IP1;All-tumours;DFS;0,01;-0,5;508;0,05
GSE25066;PAK1IP1;Luminal-A;DFS;0,1;-0,7;160;0,25
GSE25066;PAK1IP1;Luminal-B;DFS;0,23;-0,8;78;0,38
GSE25066;PAK1IP1;HER2-enriched;DFS;0,94;0,1;37;0,94
GSE25066;PAK1IP1;Basal-like;DFS;0,93;0;189;0,94
GSE25066;PHIP;All-tumours;DFS;0,88;0;508;0,88
GSE25066;PHIP;Luminal-A;DFS;0,46;-0,3;160;0,58
GSE25066;PHIP;Luminal-B;DFS;0,17;-0,8;78;0,43
GSE25066;PHIP;HER2-enriched;DFS;0,39;0,7;37;0,58
GSE25066;PHIP;Basal-like;DFS;0,09;0,5;189;0,43
GSE25066;ATG16L1;All-tumours;DFS;0,84;0;508;0,84
GSE25066;ATG16L1;Luminal-A;DFS;0,61;0,2;160;0,84
GSE25066;ATG16L1;Luminal-B;DFS;0,47;-0,4;78;0,84
GSE25066;ATG16L1;HER2-enriched;DFS;0,73;-0,3;37;0,84
GSE25066;ATG16L1;Basal-like;DFS;0,74;-0,1;189;0,84
GSE25066;ZCWPW1;All-tumours;DFS;0,61;-0,1;508;0,87
GSE25066;ZCWPW1;Luminal-A;DFS;0,76;-0,1;160;0,87
GSE25066;ZCWPW1;Luminal-B;DFS;0,87;0,1;78;0,87
GSE25066;ZCWPW1;HER2-enriched;DFS;0,16;-1,1;37;0,80
GSE25066;ZCWPW1;Basal-like;DFS;0,87;0;189;0,87
GSE25066;WDR70;All-tumours;DFS;0,81;0;508;0,81
GSE25066;WDR70;Luminal-A;DFS;0,52;0,3;160;0,81
GSE25066;WDR70;Luminal-B;DFS;0,03;-1,5;78;0,15
GSE25066;WDR70;HER2-enriched;DFS;0,73;-0,3;37;0,81
GSE25066;WDR70;Basal-like;DFS;0,12;0,4;189;0,30
GSE25066;WRAP53;All-tumours;DFS;0,19;0,3;508;0,36
GSE25066;WRAP53;Luminal-A;DFS;0,29;-0,4;160;0,36
GSE25066;WRAP53;Luminal-B;DFS;0,05;1,4;78;0,25
GSE25066;WRAP53;HER2-enriched;DFS;0,67;0,3;37;0,67
GSE25066;WRAP53;Basal-like;DFS;0,24;0,3;189;0,36
GSE25066;UBR7;All-tumours;DFS;0;0,7;508;0,00
GSE25066;UBR7;Luminal-A;DFS;0,84;0,1;160;0,97
GSE25066;UBR7;Luminal-B;DFS;0,97;0;78;0,97
GSE25066;UBR7;HER2-enriched;DFS;0,33;0,8;37;0,83
GSE25066;UBR7;Basal-like;DFS;0,52;0,2;189;0,87
GSE25066;PBRM1;All-tumours;DFS;0,27;0,2;508;0,65
GSE25066;PBRM1;Luminal-A;DFS;0,85;-0,1;160;0,85
GSE25066;PBRM1;Luminal-B;DFS;0,43;0,5;78;0,65
GSE25066;PBRM1;HER2-enriched;DFS;0,52;0,5;37;0,65
GSE25066;PBRM1;Basal-like;DFS;0,34;0,3;189;0,65
GSE25066;SETD5;All-tumours;DFS;0,15;0,3;508;0,70
GSE25066;SETD5;Luminal-A;DFS;0,61;-0,2;160;0,76
GSE25066;SETD5;Luminal-B;DFS;0,91;-0,1;78;0,91
GSE25066;SETD5;HER2-enriched;DFS;0,28;0,9;37;0,70
GSE25066;SETD5;Basal-like;DFS;0,46;0,2;189;0,76
GSE25066;SMU1;All-tumours;DFS;0,28;-0,2;508;0,47
GSE25066;SMU1;Luminal-A;DFS;0,14;-0,6;160;0,47
GSE25066;SMU1;Luminal-B;DFS;0,19;-0,8;78;0,47
GSE25066;SMU1;HER2-enriched;DFS;0,38;0,7;37;0,48
GSE25066;SMU1;Basal-like;DFS;0,86;0;189;0,86
GSE25066;ASXL2;All-tumours;DFS;0,9;0;508;0,90
GSE25066;ASXL2;Luminal-A;DFS;0,25;-0,5;160;0,42
GSE25066;ASXL2;Luminal-B;DFS;0,1;1;78;0,40
GSE25066;ASXL2;HER2-enriched;DFS;0,16;1,4;37;0,40
GSE25066;ASXL2;Basal-like;DFS;0,8;-0,1;189;0,90
GSE25066;WDR41;All-tumours;DFS;0,9;0;508;0,90
GSE25066;WDR41;Luminal-A;DFS;0,55;0,2;160;0,79
GSE25066;WDR41;Luminal-B;DFS;0,63;-0,3;78;0,79
GSE25066;WDR41;HER2-enriched;DFS;0,24;-1;37;0,79
GSE25066;WDR41;Basal-like;DFS;0,57;0,2;189;0,79
GSE25066;PHF10;All-tumours;DFS;0,24;-0,2;508;0,60
GSE25066;PHF10;Luminal-A;DFS;0,67;0,2;160;0,84
GSE25066;PHF10;Luminal-B;DFS;0,37;-0,6;78;0,62
GSE25066;PHF10;HER2-enriched;DFS;0,85;0,1;37;0,85
GSE25066;PHF10;Basal-like;DFS;0,13;0,4;189;0,60
GSE25066;FBXW7;All-tumours;DFS;0,6;-0,1;508;0,60
GSE25066;FBXW7;Luminal-A;DFS;0,02;-1;160;0,10
GSE25066;FBXW7;Luminal-B;DFS;0,53;-0,4;78;0,60
GSE25066;FBXW7;HER2-enriched;DFS;0,25;-0,9;37;0,53
GSE25066;FBXW7;Basal-like;DFS;0,32;0,3;189;0,53
GSE25066;WDR33;All-tumours;DFS;0,87;0;508;0,87
GSE25066;WDR33;Luminal-A;DFS;0,54;0,2;160;0,87
GSE25066;WDR33;Luminal-B;DFS;0,77;-0,2;78;0,87
GSE25066;WDR33;HER2-enriched;DFS;0,35;-0,8;37;0,87
GSE25066;WDR33;Basal-like;DFS;0,55;0,2;189;0,87
GSE25066;AMBRA1;All-tumours;DFS;0,02;0,5;508;0,05
GSE25066;AMBRA1;Luminal-A;DFS;0,01;1,1;160;0,05
GSE25066;AMBRA1;Luminal-B;DFS;0,87;0,1;78;0,87
GSE25066;AMBRA1;HER2-enriched;DFS;0,53;0,5;37;0,66
GSE25066;AMBRA1;Basal-like;DFS;0,26;0,3;189;0,43
GSE25066;CHD7;All-tumours;DFS;0,01;-0,5;508;0,05
GSE25066;CHD7;Luminal-A;DFS;0,76;-0,1;160;0,76
GSE25066;CHD7;Luminal-B;DFS;0,1;-1,2;78;0,17
GSE25066;CHD7;HER2-enriched;DFS;0,3;0,9;37;0,37
GSE25066;CHD7;Basal-like;DFS;0,04;-0,6;189;0,10
GSE25066;RUFY2;All-tumours;DFS;0,2;-0,2;508;0,50
GSE25066;RUFY2;Luminal-A;DFS;0,67;-0,2;160;0,82
GSE25066;RUFY2;Luminal-B;DFS;0,82;-0,1;78;0,82
GSE25066;RUFY2;HER2-enriched;DFS;0,64;-0,4;37;0,82
GSE25066;RUFY2;Basal-like;DFS;0;-0,8;189;0,00
GSE25066;WDR11;All-tumours;DFS;0,15;0,3;508;0,42
GSE25066;WDR11;Luminal-A;DFS;0,19;0,5;160;0,42
GSE25066;WDR11;Luminal-B;DFS;0,87;0,1;78;0,87
GSE25066;WDR11;HER2-enriched;DFS;0,75;0,2;37;0,87
GSE25066;WDR11;Basal-like;DFS;0,25;0,3;189;0,42
GSE25066;WDR12;All-tumours;DFS;0;-0,6;508;0,00
GSE25066;WDR12;Luminal-A;DFS;0,99;0;160;0,99
GSE25066;WDR12;Luminal-B;DFS;0,89;-0,1;78;0,99
GSE25066;WDR12;HER2-enriched;DFS;0,66;-0,3;37;0,99
GSE25066;WDR12;Basal-like;DFS;0,97;0;189;0,99
GSE25066;IFT122;All-tumours;DFS;0,34;-0,2;508;0,85
GSE25066;IFT122;Luminal-A;DFS;0,91;0;160;0,91
GSE25066;IFT122;Luminal-B;DFS;0,87;0,1;78;0,91
GSE25066;IFT122;HER2-enriched;DFS;0,09;-1,6;37;0,45
GSE25066;IFT122;Basal-like;DFS;0,8;-0,1;189;0,91
GSE25066;MBD5;All-tumours;DFS;0,11;-0,3;508;0,23
GSE25066;MBD5;Luminal-A;DFS;0,43;-0,3;160;0,54
GSE25066;MBD5;Luminal-B;DFS;0,88;-0,1;78;0,88
GSE25066;MBD5;HER2-enriched;DFS;0,1;-1,3;37;0,23
GSE25066;MBD5;Basal-like;DFS;0,14;-0,4;189;0,23
GSE25066;CFAP44;All-tumours;DFS;0,37;0,2;508;0,46
GSE25066;CFAP44;Luminal-A;DFS;0,34;0,4;160;0,46
GSE25066;CFAP44;Luminal-B;DFS;0,2;-0,8;78;0,46
GSE25066;CFAP44;HER2-enriched;DFS;0,25;-0,9;37;0,46
GSE25066;CFAP44;Basal-like;DFS;0,68;-0,1;189;0,68
GSE25066;FGD6;All-tumours;DFS;0,19;0,3;508;0,87
GSE25066;FGD6;Luminal-A;DFS;0,78;0,1;160;0,87
GSE25066;FGD6;Luminal-B;DFS;0,46;-0,5;78;0,87
GSE25066;FGD6;HER2-enriched;DFS;0,55;-0,5;37;0,87
GSE25066;FGD6;Basal-like;DFS;0,87;0;189;0,87
GSE25066;METTL2B;All-tumours;DFS;0,33;0,2;508;0,55
GSE25066;METTL2B;Luminal-A;DFS;0,86;-0,1;160;0,95
GSE25066;METTL2B;Luminal-B;DFS;0,29;-0,7;78;0,55
GSE25066;METTL2B;HER2-enriched;DFS;0,95;0;37;0,95
GSE25066;METTL2B;Basal-like;DFS;0,18;0,4;189;0,55
GSE25066;ASH1L;All-tumours;DFS;0,1;-0,3;508;0,25
GSE25066;ASH1L;Luminal-A;DFS;0,51;-0,3;160;0,64
GSE25066;ASH1L;Luminal-B;DFS;0,15;-0,9;78;0,25
GSE25066;ASH1L;HER2-enriched;DFS;0,8;-0,2;37;0,80
GSE25066;ASH1L;Basal-like;DFS;0,09;-0,5;189;0,25
GSE25066;WSB2;All-tumours;DFS;0,83;0;508;0,93
GSE25066;WSB2;Luminal-A;DFS;0,93;0;160;0,93
GSE25066;WSB2;Luminal-B;DFS;0,29;-0,6;78;0,75
GSE25066;WSB2;HER2-enriched;DFS;0,45;0,7;37;0,75
GSE25066;WSB2;Basal-like;DFS;0,34;0,3;189;0,75
GSE25066;RNF17;All-tumours;DFS;0,91;0;508;0,91
GSE25066;RNF17;Luminal-A;DFS;0,02;1;160;0,10
GSE25066;RNF17;Luminal-B;DFS;0,14;-0,9;78;0,35
GSE25066;RNF17;HER2-enriched;DFS;0,64;0,4;37;0,91
GSE25066;RNF17;Basal-like;DFS;0,83;-0,1;189;0,91
GSE25066;TDRD1;All-tumours;DFS;0,15;-0,3;508;0,37
GSE25066;TDRD1;Luminal-A;DFS;0,53;0,3;160;0,53
GSE25066;TDRD1;Luminal-B;DFS;0,51;0,4;78;0,53
GSE25066;TDRD1;HER2-enriched;DFS;0,04;-1,9;37;0,20
GSE25066;TDRD1;Basal-like;DFS;0,22;-0,3;189;0,37
GSE25066;SMYD2;All-tumours;DFS;0,03;-0,4;508;0,15
GSE25066;SMYD2;Luminal-A;DFS;0,98;0;160;0,98
GSE25066;SMYD2;Luminal-B;DFS;0,41;0,5;78;0,65
GSE25066;SMYD2;HER2-enriched;DFS;0,52;0,5;37;0,65
GSE25066;SMYD2;Basal-like;DFS;0,06;-0,5;189;0,15
GSE25066;PRDM8;All-tumours;DFS;0,84;0;508;0,84
GSE25066;PRDM8;Luminal-A;DFS;0,5;0,3;160;0,84
GSE25066;PRDM8;Luminal-B;DFS;0,82;-0,1;78;0,84
GSE25066;PRDM8;HER2-enriched;DFS;0,37;-0,7;37;0,84
GSE25066;PRDM8;Basal-like;DFS;0,82;-0,1;189;0,84
GSE25066;PRDM9;All-tumours;DFS;0,47;-0,1;508;0,69
GSE25066;PRDM9;Luminal-A;DFS;0,55;0,2;160;0,69
GSE25066;PRDM9;Luminal-B;DFS;1;0;78;1,00
GSE25066;PRDM9;HER2-enriched;DFS;0,14;1,2;37;0,63
GSE25066;PRDM9;Basal-like;DFS;0,25;-0,3;189;0,63
GSE25066;PRDM10;All-tumours;DFS;0,74;0,1;508;0,92
GSE25066;PRDM10;Luminal-A;DFS;0,72;0,1;160;0,92
GSE25066;PRDM10;Luminal-B;DFS;0,52;0,4;78;0,92
GSE25066;PRDM10;HER2-enriched;DFS;0,22;1;37;0,92
GSE25066;PRDM10;Basal-like;DFS;0,92;0;189;0,92
GSE25066;PRDM11;All-tumours;DFS;0,5;-0,1;508;0,77
GSE25066;PRDM11;Luminal-A;DFS;0,77;-0,1;160;0,77
GSE25066;PRDM11;Luminal-B;DFS;0,68;0,3;78;0,77
GSE25066;PRDM11;HER2-enriched;DFS;0,26;0,9;37;0,77
GSE25066;PRDM11;Basal-like;DFS;0,35;-0,3;189;0,77
GSE25066;TULP4;All-tumours;DFS;0,17;0,3;508;0,77
GSE25066;TULP4;Luminal-A;DFS;0,81;-0,1;160;0,81
GSE25066;TULP4;Luminal-B;DFS;0,69;-0,3;78;0,81
GSE25066;TULP4;HER2-enriched;DFS;0,35;-0,8;37;0,77
GSE25066;TULP4;Basal-like;DFS;0,46;-0,2;189;0,77
GSE25066;INTS12;All-tumours;DFS;0,04;0,4;508;0,20
GSE25066;INTS12;Luminal-A;DFS;0,46;0,3;160;0,74
GSE25066;INTS12;Luminal-B;DFS;0,59;0,3;78;0,74
GSE25066;INTS12;HER2-enriched;DFS;0,97;0;37;0,97
GSE25066;INTS12;Basal-like;DFS;0,19;0,4;189;0,48
GSE25066;SCYL3;All-tumours;DFS;0;0,8;508;0,00
GSE25066;SCYL3;Luminal-A;DFS;0,03;0,9;160;0,08
GSE25066;SCYL3;Luminal-B;DFS;0,82;0,1;78;0,82
GSE25066;SCYL3;HER2-enriched;DFS;0,23;1;37;0,38
GSE25066;SCYL3;Basal-like;DFS;0,54;0,2;189;0,68
GSE25066;CORO1B;All-tumours;DFS;0,9;0;508;0,90
GSE25066;CORO1B;Luminal-A;DFS;0,77;-0,1;160;0,90
GSE25066;CORO1B;Luminal-B;DFS;0,26;0,7;78;0,90
GSE25066;CORO1B;HER2-enriched;DFS;0,88;-0,1;37;0,90
GSE25066;CORO1B;Basal-like;DFS;0,65;0,1;189;0,90
GSE25066;CBX8;All-tumours;DFS;0,85;0;508;0,85
GSE25066;CBX8;Luminal-A;DFS;0,66;0,2;160;0,85
GSE25066;CBX8;Luminal-B;DFS;0,2;0,8;78;0,85
GSE25066;CBX8;HER2-enriched;DFS;0,35;0,7;37;0,85
GSE25066;CBX8;Basal-like;DFS;0,81;-0,1;189;0,85
GSE25066;WDR18;All-tumours;DFS;0,28;0,2;508;0,61
GSE25066;WDR18;Luminal-A;DFS;0,37;0,4;160;0,61
GSE25066;WDR18;Luminal-B;DFS;0,04;-1,4;78;0,20
GSE25066;WDR18;HER2-enriched;DFS;0,49;-0,5;37;0,61
GSE25066;WDR18;Basal-like;DFS;0,85;0,1;189;0,85
GSE25066;BAHCC1;All-tumours;DFS;0,35;0,2;508;0,66
GSE25066;BAHCC1;Luminal-A;DFS;0,07;0,7;160;0,35
GSE25066;BAHCC1;Luminal-B;DFS;0,53;-0,4;78;0,66
GSE25066;BAHCC1;HER2-enriched;DFS;0,76;-0,2;37;0,76
GSE25066;BAHCC1;Basal-like;DFS;0,4;0,2;189;0,66
GSE25066;WDR48;All-tumours;DFS;0,4;0,2;508;0,92
GSE25066;WDR48;Luminal-A;DFS;0,81;-0,1;160;0,92
GSE25066;WDR48;Luminal-B;DFS;0,56;-0,4;78;0,92
GSE25066;WDR48;HER2-enriched;DFS;0,03;2;37;0,15
GSE25066;WDR48;Basal-like;DFS;0,92;0;189;0,92
GSE25066;TRMT9B;All-tumours;DFS;0,45;-0,1;508;0,70
GSE25066;TRMT9B;Luminal-A;DFS;0,45;0,3;160;0,70
GSE25066;TRMT9B;Luminal-B;DFS;0,7;-0,2;78;0,70
GSE25066;TRMT9B;HER2-enriched;DFS;0,66;0,3;37;0,70
GSE25066;TRMT9B;Basal-like;DFS;0,27;-0,3;189;0,70
GSE25066;CHD8;All-tumours;DFS;0;0,7;508;0,00
GSE25066;CHD8;Luminal-A;DFS;0,14;0,6;160;0,18
GSE25066;CHD8;Luminal-B;DFS;0,78;0,2;78;0,78
GSE25066;CHD8;HER2-enriched;DFS;0,09;1,3;37;0,15
GSE25066;CHD8;Basal-like;DFS;0,01;0,7;189;0,02
GSE25066;PPP4R4;All-tumours;DFS;0,15;0,3;508;0,56
GSE25066;PPP4R4;Luminal-A;DFS;0,27;0,4;160;0,56
GSE25066;PPP4R4;Luminal-B;DFS;0,34;0,6;78;0,56
GSE25066;PPP4R4;HER2-enriched;DFS;0,98;0;37;0,98
GSE25066;PPP4R4;Basal-like;DFS;0,45;0,2;189;0,56
GSE25066;PRDM12;All-tumours;DFS;0,56;0,1;508;0,98
GSE25066;PRDM12;Luminal-A;DFS;0,63;0,2;160;0,98
GSE25066;PRDM12;Luminal-B;DFS;0,83;0,1;78;0,98
GSE25066;PRDM12;HER2-enriched;DFS;0,98;0;37;0,98
GSE25066;PRDM12;Basal-like;DFS;0,44;0,2;189;0,98
GSE25066;PRDM13;All-tumours;DFS;0,8;0;508;0,80
GSE25066;PRDM13;Luminal-A;DFS;0,4;-0,3;160;0,80
GSE25066;PRDM13;Luminal-B;DFS;0,58;0,4;78;0,80
GSE25066;PRDM13;HER2-enriched;DFS;0,43;0,6;37;0,80
GSE25066;PRDM13;Basal-like;DFS;0,77;0,1;189;0,80
GSE25066;PRDM16;All-tumours;DFS;0,39;-0,2;508;0,65
GSE25066;PRDM16;Luminal-A;DFS;0,17;-0,5;160;0,43
GSE25066;PRDM16;Luminal-B;DFS;0,06;-1,1;78;0,30
GSE25066;PRDM16;HER2-enriched;DFS;0,56;0,5;37;0,70
GSE25066;PRDM16;Basal-like;DFS;0,83;0,1;189;0,83
GSE25066;PRDM14;All-tumours;DFS;0,03;-0,4;508;0,15
GSE25066;PRDM14;Luminal-A;DFS;0,88;-0,1;160;0,88
GSE25066;PRDM14;Luminal-B;DFS;0,42;0,5;78;0,52
GSE25066;PRDM14;HER2-enriched;DFS;0,15;1,2;37;0,37
GSE25066;PRDM14;Basal-like;DFS;0,27;-0,3;189;0,45
GSE25066;MLST8;All-tumours;DFS;0,04;0,4;508;0,20
GSE25066;MLST8;Luminal-A;DFS;0,09;0,7;160;0,22
GSE25066;MLST8;Luminal-B;DFS;0,89;0,1;78;0,89
GSE25066;MLST8;HER2-enriched;DFS;0,68;-0,3;37;0,89
GSE25066;MLST8;Basal-like;DFS;0,76;0,1;189;0,89
GSE25066;NSD1;All-tumours;DFS;0,14;-0,3;508;0,23
GSE25066;NSD1;Luminal-A;DFS;0,6;-0,2;160;0,60
